rec,n_countries,n_cy,mean_it,sd_it
SADC,8,183,0.2983,0.2262
EAC,5,130,0.1459,0.0717
CARIFORUM,15,390,0.1453,0.0884
ECOWAS,16,396,0.1408,0.0925
Central Africa,7,182,0.0497,0.0412
COMESA,12,312,0.0424,0.0339
PIF,15,390,0.0395,0.0629
